Customer ID,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Premium Tech Support,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
0002-ORFBO,2,1,0,2,9,0,1,42.39,1,3,16.0,0,1,1,3,1,2,65.6,593.3,0.0,0,381.51,974.81,1
0003-MKNFE,3,0,0,0,9,0,1,10.69,1,3,10.0,0,0,0,1,0,2,-4.0,542.4,38.33,10,96.21,610.28,1
0004-TLHLJ,3,0,0,0,4,5,1,33.65,1,1,30.0,0,0,1,1,1,1,73.9,280.85,0.0,0,134.6,415.45,0
0011-IGKFF,5,1,0,1,13,4,1,27.82,1,1,4.0,0,0,1,1,1,1,98.0,1237.85,0.0,0,361.66,1599.51,0
0013-EXCHZ,4,1,0,3,3,0,1,7.38,1,1,11.0,0,1,1,1,1,2,83.9,267.4,0.0,0,22.14,289.54,0
0013-MHZWF,1,0,3,0,9,5,1,16.77,1,3,73.0,0,1,1,1,1,2,69.4,571.45,0.0,0,150.93,722.38,1
0013-SMEOE,4,1,0,1,71,1,1,9.96,1,1,14.0,1,1,1,2,1,1,109.7,7904.25,0.0,0,707.16,8611.41,1
0014-BMAQU,3,1,0,8,63,2,1,12.96,1,1,7.0,1,1,0,2,1,2,84.65,5377.8,0.0,20,816.48,6214.28,1
0015-UOCOJ,4,0,0,0,7,5,1,10.53,1,2,21.0,1,0,1,2,1,1,48.2,340.35,0.0,0,73.71,414.06,1
0016-QLJIS,3,1,1,3,65,0,1,28.46,1,3,14.0,1,1,1,2,1,2,90.45,5957.9,0.0,0,1849.9,7807.8,1
0017-DINOC,3,0,0,0,54,0,0,25.420517214274486,1,3,10.0,1,1,1,2,0,2,45.2,2460.55,0.0,0,0.0,2460.55,1
0017-IUDMW,1,1,2,2,72,0,1,16.01,1,1,59.0,1,1,1,2,1,2,116.8,8456.75,0.0,0,1152.72,9609.47,1
0018-NYROU,3,1,0,0,5,0,1,18.65,1,1,10.0,0,0,1,1,1,1,68.95,351.5,0.0,0,93.25,444.75,1
0019-EFAEP,2,0,0,0,72,1,1,2.25,1,1,16.0,1,0,1,2,1,1,101.3,7261.25,0.0,0,162.0,7423.25,1
0019-GFNTW,2,0,0,0,56,0,0,25.420517214274486,1,2,19.0,1,1,1,2,0,1,45.05,2560.1,0.0,0,0.0,2560.1,1
0020-INWCK,3,1,2,9,71,1,1,27.26,1,1,12.0,0,0,1,2,1,2,95.75,6849.4,0.0,0,1935.46,8784.86,1
0020-JDNXP,3,1,1,0,34,0,0,25.420517214274486,1,2,20.0,1,1,1,3,0,2,61.25,1993.2,0.0,0,0.0,1993.2,1
0021-IKXGC,4,0,0,0,1,5,1,7.77,1,1,22.0,0,0,1,3,1,1,72.1,72.1,0.0,0,7.77,79.87,2
0022-TCJCI,5,0,0,0,45,0,1,10.67,1,2,17.0,1,0,1,3,0,2,62.7,2791.5,0.0,0,480.15,3271.65,0
0023-HGHWL,4,0,0,0,1,0,0,25.420517214274486,1,3,9.0,0,0,1,1,1,1,25.1,25.1,0.0,0,0.0,25.1,0
0023-UYUPN,5,1,0,0,50,0,1,31.43,0,0,26.189958310676094,0,0,0,3,0,1,25.2,1306.3,0.0,0,1571.5,2877.8,1
0023-XUOPT,1,1,0,1,13,0,1,43.56,1,1,52.0,0,0,1,1,0,1,94.1,1215.6,0.0,0,566.28,1781.88,0
0027-KWYKW,2,1,2,1,23,4,1,34.91,1,1,30.0,0,0,1,1,1,1,83.75,1849.95,0.0,0,802.93,2652.88,1
0030-FNXPP,1,0,0,0,3,0,1,3.12,0,0,26.189958310676094,0,0,0,1,0,2,19.85,57.2,0.0,0,9.36,66.56,2
0031-PVLZI,2,1,0,0,4,5,1,12.43,0,0,26.189958310676094,0,0,0,1,0,2,20.35,76.35,0.0,0,49.72,126.07,0
0032-PGELS,2,1,1,1,1,0,0,25.420517214274486,1,2,19.0,1,0,1,1,0,1,30.5,30.5,0.0,0,0.0,30.5,0
0036-IHMOT,2,1,3,10,55,0,1,35.04,1,1,57.0,0,1,0,3,1,1,103.7,5656.75,0.0,20,1927.2,7603.95,1
0040-HALCW,2,1,3,3,54,0,1,19.7,0,0,26.189958310676094,0,0,0,2,0,2,20.4,1090.6,0.0,0,1063.8,2154.4,1
0042-JVWOJ,4,0,0,0,26,3,1,37.7,0,0,26.189958310676094,0,0,0,3,1,1,19.6,471.85,21.25,0,980.2,1430.8,1
