Customer ID,Married,age_gen,Offer,Churn Category,Churn Reason,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
0004-TLHLJ,No,Generation X,Offer E,Competitor,Competitor had better devices,33.65,30.0,73.9,280.85,0.0,0,134.6,415.45
0011-IGKFF,Yes,Silent generation,Offer D,Dissatisfaction,Product dissatisfaction,27.82,4.0,98.0,1237.85,0.0,0,361.66,1599.51
0013-EXCHZ,Yes,Baby boomers,,Dissatisfaction,Network reliability,7.38,11.0,83.9,267.4,0.0,0,22.14,289.54
0022-TCJCI,No,Silent generation,,Dissatisfaction,Limited range of services,10.67,17.0,62.7,2791.5,0.0,0,480.15,3271.65
0023-HGHWL,No,Baby boomers,,Competitor,Competitor made better offer,,9.0,25.1,25.1,0.0,0,0.0,25.1
0023-XUOPT,Yes,Generation Z,,Other,Don't know,43.56,52.0,94.1,1215.6,0.0,0,566.28,1781.88
0031-PVLZI,Yes,Millennials,Offer E,Price,Long distance charges,12.43,,20.35,76.35,0.0,0,49.72,126.07
0032-PGELS,Yes,Millennials,,Attitude,Attitude of service provider,,19.0,30.5,30.5,0.0,0,0.0,30.5
0067-DKWBL,No,Baby boomers,,Competitor,Competitor made better offer,43.99,27.0,49.25,91.1,0.0,0,87.98,179.08
0093-XWZFY,No,Generation X,,Competitor,Competitor had better devices,37.69,15.0,104.5,4036.85,0.0,0,1507.6,5544.45
0094-OIFMO,No,Silent generation,Offer D,Dissatisfaction,Product dissatisfaction,11.59,29.0,95.0,1120.3,0.0,120,127.49,1367.79
0107-WESLM,No,Millennials,Offer E,Attitude,Attitude of support person,31.77,,19.85,19.85,0.0,0,31.77,51.62
0107-YHINA,No,Baby boomers,,Competitor,Competitor had better devices,40.71,25.0,99.75,99.75,0.0,0,40.71,140.46
0112-QWPNC,Yes,Baby boomers,Offer B,Competitor,Competitor offered higher download speeds,39.55,10.0,84.35,4059.35,0.0,0,1937.95,5997.3
0115-TFERT,Yes,Generation Z,,Attitude,Attitude of service provider,36.26,59.0,111.2,2317.1,0.0,120,761.46,3198.56
0117-LFRMW,Yes,Generation X,,Competitor,Competitor offered more data,,23.0,40.2,1448.8,0.0,0,0.0,1448.8
0122-OAHPZ,No,Millennials,,Competitor,Competitor made better offer,28.62,26.0,73.85,511.25,13.03,0,200.34,698.56
0125-LZQXK,No,Millennials,Offer D,Attitude,Attitude of service provider,45.92,12.0,101.35,1553.95,0.0,0,688.8,2242.75
0133-BMFZO,No,Millennials,,Competitor,Competitor offered higher download speeds,36.81,16.0,86.25,181.65,0.0,0,73.62,255.27
0135-NMXAP,No,Generation X,Offer D,Attitude,Attitude of support person,14.38,6.0,89.75,1052.4,0.0,0,172.56,1224.96
0137-OCGAB,No,Generation Z,Offer E,Price,Lack of affordable download/upload speed,1.23,69.0,80.2,80.2,0.0,0,1.23,81.43
0137-UDEUO,No,Generation Z,Offer E,Price,Long distance charges,25.75,,19.85,63.75,0.0,0,77.25,141.0
0148-DCDOS,No,Millennials,,Competitor,Competitor had better devices,34.88,8.0,94.7,2362.1,0.0,0,872.0,3234.1
0151-ONTOV,No,Generation X,Offer E,Competitor,Competitor had better devices,39.81,23.0,70.9,70.9,0.0,0,39.81,110.71
0156-FVPTA,Yes,Generation X,Offer D,Attitude,Attitude of service provider,27.24,21.0,54.2,1152.7,0.0,0,599.28,1751.98
0193-ESZXP,Yes,Baby boomers,,Attitude,Attitude of support person,16.94,19.0,105.5,6205.5,0.0,0,982.52,7188.02
0195-IESCP,Yes,Generation Z,Offer D,Competitor,Competitor offered more data,2.02,82.0,85.25,855.3,0.0,100,20.2,975.5
0196-VULGZ,Yes,Silent generation,,Other,Deceased,28.71,17.0,84.35,474.9,0.0,0,172.26,647.16
0201-OAMXR,No,Millennials,Offer A,Dissatisfaction,Network reliability,10.21,52.0,115.55,8127.6,0.0,0,714.7,8842.3
0203-HHYIJ,No,Baby boomers,Offer C,Price,Long distance charges,5.57,,25.3,676.35,0.0,0,139.25,815.6
0207-MDKNV,No,Generation X,,Competitor,Competitor made better offer,22.39,7.0,105.1,1582.75,0.0,0,335.85,1918.6
0219-YTZUE,Yes,Generation Z,Offer E,Competitor,Competitor made better offer,28.77,19.0,84.8,371.9,0.0,0,115.08,486.98
0220-EBGCE,No,Generation X,Offer E,Competitor,Competitor made better offer,14.14,28.0,85.85,167.3,0.0,0,28.28,195.58
0224-HJAPT,No,Generation Z,,Competitor,Competitor made better offer,22.01,85.0,47.15,223.15,0.0,0,110.05,333.2
0231-LXVAP,No,Generation Z,,Competitor,Competitor made better offer,44.56,27.0,75.9,75.9,0.0,0,44.56,120.46
0235-KGSLC,No,Generation X,Offer E,Other,Moved,33.34,4.0,85.55,85.55,0.0,0,33.34,118.89
0236-HFWSV,No,Generation X,,Competitor,Competitor had better devices,48.93,15.0,93.35,1444.65,0.0,0,733.95,2178.6
0256-LTHVJ,Yes,Generation X,Offer C,Competitor,Competitor had better devices,16.85,13.0,81.05,2227.1,0.0,0,471.8,2698.9
0257-ZESQC,Yes,Silent generation,,Attitude,Attitude of support person,7.02,25.0,75.2,1929.35,0.0,0,189.54,2118.89
0259-GBZSH,No,Generation Z,Offer E,Competitor,Competitor made better offer,40.43,27.0,85.65,181.5,0.0,0,80.86,262.36
0260-ZDLGK,No,Generation X,,Competitor,Competitor made better offer,35.49,11.0,72.9,651.4,0.0,0,319.41,970.81
0265-EDXBD,Yes,Baby boomers,Offer C,Attitude,Attitude of support person,47.34,10.0,74.9,2303.35,0.0,0,1514.88,3818.23
0268-QKIWO,No,Millennials,Offer E,Attitude,Attitude of support person,24.63,,19.75,58.85,0.0,0,73.89,132.74
0278-YXOOG,No,Millennials,Offer E,Attitude,Attitude of support person,34.26,,21.05,113.85,0.0,0,171.3,285.15
0280-XJGEX,No,Millennials,,Competitor,Competitor had better devices,44.33,11.0,103.7,5036.3,0.0,0,2172.17,7208.47
0295-PPHDO,No,Generation X,,Competitor,Competitor had better devices,5.59,2.0,95.45,95.45,0.0,0,5.59,101.04
0302-JOIVN,Yes,Generation X,,Competitor,Competitor made better offer,16.88,6.0,101.15,842.9,0.0,0,135.04,977.94
0306-JAELE,No,Baby boomers,,Competitor,Competitor made better offer,31.09,11.0,96.1,453.4,0.0,0,155.45,608.85
0310-MVLET,Yes,Baby boomers,,Dissatisfaction,Service dissatisfaction,49.33,7.0,99.15,6010.05,0.0,0,3009.13,9019.18
0311-UNPFF,No,Generation X,,Dissatisfaction,Service dissatisfaction,38.09,22.0,88.8,2274.35,0.0,50,990.34,3314.69
0318-QUUOB,Yes,Generation Z,,Competitor,Competitor had better devices,43.67,73.0,80.55,80.55,0.0,0,43.67,124.22
0320-JDNQG,Yes,Millennials,,Other,Don't know,37.95,27.0,99.85,2331.3,0.0,0,872.85,3204.15
0322-CHQRU,No,Baby boomers,,Competitor,Competitor had better devices,25.49,9.0,45.35,89.5,0.0,0,50.98,140.48
0322-YINQP,No,Millennials,,Attitude,Attitude of support person,11.35,9.0,48.55,48.55,0.0,0,11.35,59.9
0324-BRPCJ,Yes,Baby boomers,,Competitor,Competitor offered more data,21.33,24.0,100.2,6851.65,0.0,0,1450.44,8302.09
